raw_name,market_guess,theme_guess,note
카카오,KR,Platform,user_supplied_watchlist
인포뱅크,KR,Mobility/AI,user_supplied_watchlist
카페24,KR,E-commerce,user_supplied_watchlist
한미반도체,KR,HBM/Semiconductor,user_supplied_watchlist
KSS해운,KR,Shipping,user_supplied_watchlist
유니온머티리얼,KR,Rare Earth,user_supplied_watchlist
이스트소프트,KR,AI Software,user_supplied_watchlist
한국항공우주,KR,Aerospace/Defense,user_supplied_watchlist
CJ프레시웨이,KR,Consumer,user_supplied_watchlist
한전KPS,KR,Nuclear/Power,user_supplied_watchlist
중앙첨단소재,KR_CANDIDATE,Watchlist,user_supplied_watchlist
한전기술,KR,Nuclear/Power,user_supplied_watchlist
한미글로벌,KR,Infrastructure,user_supplied_watchlist
안랩,KR,Cybersecurity,user_supplied_watchlist
삼진엘앤디,KR,Components,user_supplied_watchlist
텔레칩스,KR,Automotive Semiconductor,user_supplied_watchlist
신한지주,KR,Bank,user_supplied_watchlist
리노공업,KR,Semiconductor,user_supplied_watchlist
에스피지,KR,Robotics,user_supplied_watchlist
CMG제약,KR,Pharma,user_supplied_watchlist
현대로템,KR,Defense,user_supplied_watchlist
LG CNS,GLOBAL_CANDIDATE,Watchlist,user_supplied_watchlist
빅텍,KR,Defense,user_supplied_watchlist
LG전자,KR,Electronics/AI,user_supplied_watchlist
엘앤에프,KR,Battery,user_supplied_watchlist
셀트리온,KR,Biotech,user_supplied_watchlist
일신바이오,KR,Biotech,user_supplied_watchlist
한국금융지주,KR,Securities,user_supplied_watchlist
텔코웨어,KR,Telecom,user_supplied_watchlist
LIG넥스원,KR,Defense,user_supplied_watchlist
젬백스,KR,Biotech,user_supplied_watchlist
이엠앤아이,KR,Materials,user_supplied_watchlist
유진테크,KR,Semiconductor,user_supplied_watchlist
유비온,KR,EdTech,user_supplied_watchlist
차바이오텍,KR,Biotech,user_supplied_watchlist
메디톡스,KR,Biotech,user_supplied_watchlist
모바일어플라이언스,KR,Autonomous,user_supplied_watchlist
평화산업,KR,Auto Parts,user_supplied_watchlist
상신이디피,KR,Battery,user_supplied_watchlist
트리니티항공,KR_CANDIDATE,Space/Defense,user_supplied_watchlist
셀트리온헬스케어,KR_CANDIDATE,Watchlist,user_supplied_watchlist
일진파워,KR,Nuclear/Power,user_supplied_watchlist
테스,KR,Semiconductor,user_supplied_watchlist
에스에너지,KR,Renewable Energy,user_supplied_watchlist
SK이노베이션,KR,Battery,user_supplied_watchlist
엠씨넥스,KR,Mobility,user_supplied_watchlist
쎄트렉아이,KR,Space,user_supplied_watchlist
우림피티에스,KR,Robotics,user_supplied_watchlist
에스앤에스텍,KR,Semiconductor,user_supplied_watchlist
일진전기,KR,Power Grid,user_supplied_watchlist
KB금융,KR,Bank,user_supplied_watchlist
대양전기공업,KR,Ship/Defense,user_supplied_watchlist
로보티즈,KR,Robotics,user_supplied_watchlist
셀바스AI,KR,AI Software,user_supplied_watchlist
큐리언트,KR,Biotech,user_supplied_watchlist
티로보틱스,KR,Robotics,user_supplied_watchlist
모트렉스,KR,Autonomous,user_supplied_watchlist
한미약품,KR,Pharma,user_supplied_watchlist
앱코,KR,Consumer Tech,user_supplied_watchlist
화인베스틸,KR,Materials,user_supplied_watchlist
탑코미디어,KR,Media,user_supplied_watchlist
원일티엔아이,KR_CANDIDATE,Watchlist,user_supplied_watchlist
메리츠금융지주,KR,Financial Holding,user_supplied_watchlist
