event_id,theme,question,mapped_symbols,b,enabled,priority_tier
cash_affordable_candidates,Cash Affordable,현재 원화·달러 주문가능 현금과 위험 한도 안에서 실제 구매 가능하면서 향후 3개월 점수가 우수할 가능성이 높은 종목은 무엇인가?,"MARKET:KR,MARKET:US",100,true,1
kr_domestic_top_candidates,KR Domestic,향후 3개월 동안 국내 주식의 가능성이 높은 종목은?,MARKET:KR,100,true,1
global_ai_semiconductor,AI Semiconductor,향후 3개월 동안 AI 반도체 관련 종목 중 가능성이 높은 종목은?,THEME:AI Semiconductor,100,true,5
global_defense_space,Space/Defense,향후 3개월 동안 우주·방산 관련 종목 중 가능성이 높은 종목은?,THEME:Space/Defense,100,true,5
global_robotics,Robotics,향후 3개월 동안 로봇 관련 종목 중 가능성이 높은 종목은?,THEME:Robotics,100,true,5
global_battery,Battery,향후 3개월 동안 배터리·전력망 관련 종목 중 가능성이 높은 종목은?,"THEME:Battery,THEME:Power Grid",100,true,5
global_quantum,Quantum Computing,향후 3개월 동안 양자컴퓨팅 관련 종목 중 가능성이 높은 종목은?,THEME:Quantum Computing,100,true,5
global_country_markets,Global Country Markets,향후 3개월 동안 국가별 실제 투자 가능 ETF·ADR·해외기업 중 모멘텀·수급·이벤트 우위가 가장 클 가능성이 있는 대상은?,COUNTRY:ALL,100,true,5
